,word,definition,frequency
443,ἑλικός,"
		eddying
    	",1
444,βοῦς,"
		bullock, bull, ox
    	",1
445,τόφρα,"
		up to
    	",2
446,ἄρα,"
		i[rtilde]
    	",1
447,ἄρα2,"
[definition unavailable]
",1
448,ἄρον,"
		cuckoo-pint, Arum italicum,
    	",3
449,ἆρα,"
		particle introducing a question
    	",3
450,ἆρα2,"
		anxiety
    	",3
451,ἀρά,"
		prayer,
    	",3
452,ἀρά3,"
		prayer
    	",3
453,ἀράομαι,"
		pray to
    	",3
454,ἀράζω,"
		snarl, growl,
    	",1
455,ἀρή,"
		bane, ruin,
    	",3
456,ἀρίς,"
		bow-drill,
    	",4
457,ἀρόω,"
		plough, till,
    	",1
458,αἴρω,"
		to take up, raise, lift up
    	",3
459,ἔρις,"
[definition unavailable]
",4
460,ἔρος,"
		wool,
    	",3
461,ἐράω,"
		love,
    	",3
462,ἐράω2,"
		pour forth, vomit,
    	",3
463,οἴχομαι,"
		go
    	",2
464,γεγωνέω,"
		to tell out, proclaim
    	",1
465,οἴη,"
[definition unavailable]
",1
466,οἴη2,"
[definition unavailable]
",1
467,οἶις,"
		sheep,
    	",2
468,οἰάω,"
[definition unavailable]
",1
469,σφεῖς,"
		Rendic.Pont. Accad.Rom. di Arch.
    	",1
470,γείτων,"
		neighbour, borderer
    	",1
471,ἀσάω,"
		glut oneself, take a surfeit,
    	",2
472,ἅμα,"
		at once, at the same time,
    	",2
473,ἅμα2,"
		at the same time
    	",2
474,πλείων,"
		more,
    	",1
475,Ἄρειος,"
		the hill of Ares,
    	",1
476,Ἀρείων,"
		Arīon
    	",1
477,ἄρειος,"
		devoted to Ares, warlike, martial
    	",1
478,ἀρείων,"
		better, stouter, braver,
    	",1
479,ἤπειρος,"
		terra firma, land
    	",1
480,ἐφίστημι,"
		set, place upon
    	",1
481,ἐπίσταμαι,"
		know
    	",1
482,ἐπιστάζω,"
		let fall in drops upon
    	",1
483,Ἆπις,"
		Apis
    	",2
484,Ἀπις,"
		Apis,
    	",2
485,ἄπαις,"
		childless,
    	",2
486,ἄπιος,"
		far away, far off, distant,
    	",2
487,ἵππος,"
		horse
    	",1
488,ἱππών,"
		place for horses
    	",1
489,ἀνήρ,"
		nar-
    	",1
490,μάρναμαι,"
		fight, do battle
    	",1
491,ὅθι,"
		where,
    	",2
492,χράομαι,"
		consulting
    	",1
493,χράω,"
		fall upon, attack, assail,
    	",1
494,χράω2,"
		proclaim,
    	",1
495,χραύω,"
		scrape, graze, wound slightly,
    	",1
496,χρή,"
		sum
    	",1
497,χρῆ,"
		need, necessity
    	",1
498,χρῆ2,"
		desires
    	",1
499,πεζός,"
		on foot, walking
    	",1
500,ἐφέζομαι,"
		sit upon
    	",2
501,ἐπιέννυμι,"
		put on besides
    	",2
502,φύλλον,"
		leaf
    	",1
503,φυλλάς,"
		leafy,
    	",1
504,φυλλάζω,"
		frondesco,
    	",1
505,ἄνθος,"
		bird,
    	",2
506,ὁράω,"
		Inscr. destombeaux des rois
    	",1
507,ὥρα,"
		sūra.
    	",1
508,ὥρα2,"
		any period,
    	",1
509,ὤρα,"
		care, concern,
    	",1
510,ὦρος,"
[definition unavailable]
",1
511,ὠρέω,"
[definition unavailable]
",1
512,ἀέριος,"
		misty
    	",1
513,ἠέριος,"
		early, at
    	",1
514,τότε,"
		at that time, then,
    	",8
515,τοτέ,"
		at times, now and then
    	",8
516,τοτέ2,"
		at times, now and then,
    	",8
517,Δεύς,"
[definition unavailable]
",22
518,δή,"
		exactness
    	",22
519,δήω,"
		to find, meet with
    	",22
520,ῥάζω,"
		snarl
    	",1
521,ῥᾶ,"
		easily
    	",1
522,ῥᾶ2,"
		rhubarb, Rheum officinale
    	",1
523,ῥαίνω,"
		sprinkle, besprinkle
    	",1
524,κάκη,"
		wickedness, vice
    	",1
525,κακός,"
		bad
    	",1
526,Αἶσα,"
		who dispenses to every one his lot
    	",1
527,παρίστημι,"
		cause to stand, place beside
    	",1
528,αἰνόμορος,"
		doomed to a sad end
    	",1
529,ἵνα,"
		in that place, there
    	",1
530,ἴνη,"
[definition unavailable]
",1
531,ἴνος,"
[definition unavailable]
",1
532,ἴς,"
		strength, force
    	",1
533,ἄλγος,"
		pain
    	",1
534,πάσχω,"
		have
    	",1
535,ἵστημι,"
		make to stand
    	",1
536,μάχομαι,"
		fight
    	",1
537,μάχη,"
		battle, combat
    	",1
538,μαχάω,"
		wish to fight
    	",1
539,συμμαχέω,"
		to be an ally, to be in alliance
    	",1
540,ναῦς,"
		ship,
    	",2
541,θοός,"
		pointed, sharp
    	",1
542,βάλλω,"
		throw
    	",1
543,χαλκήρης,"
		furnished
    	",1
544,ἤν,"
		if;
    	",2
545,ἤν2,"
		see there!
    	",2
546,ἀέξω,"
		augeo
    	",2
547,ἱερόν,"
		sacrifice,
            victim
    	",2
548,ἱερός,"
		filled with
    	",1
549,ἀλέξω,"
		raák[snull ]ati
    	",1
550,πλεονάζω,"
		to be more,
    	",1
551,ἦμος,"
		at which time, when
    	",8
552,μετανίσσομαι,"
		to pass over to the other side
    	",1
553,βουλυτόνδε,"
		towards even, at eventide
    	",1
554,κλίνη,"
		that on which one lies, couch
    	",1
555,κλίνω,"
		śráyati
    	",1
556,δαμάω,"
[definition unavailable]
",1
557,δαμάζω,"
		overpower
    	",1
558,Ἀχαιός,"
		Achaean,
    	",1
559,ἕξ,"
		six,
    	",2
560,ἐξ,"
[definition unavailable]
",2
561,ἕκαστος,"
		each,
    	",1
562,ναός,"
[definition unavailable]
",4
563,ἐυκνήμις,"
		well-equipped with greaves, well-greaved
    	",2
564,ἑταῖρος,"
		comrade, companion,
    	",1
565,ἑταιρέω,"
		keep company with,
    	",1
566,ἑλλός,"
		a young deer, fawn
    	",4
567,θάνατος,"
		death
    	",1
568,μόρον,"
		black mulberry
    	",1
569,μόρος,"
		fate, destiny
    	",1
570,ἔνθεν,"
		thence,
    	",4
571,ἐντίθημι,"
		put in
    	",4
